;Measure;Preamble;Question;Options;Reverse coded;Attention check
1;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";1. I feel calm.;almost never,occasionally,often,almost always;1;0
2;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";2. I feel secure.;almost never,occasionally,often,almost always;1;0
3;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";3. I am tense.;almost never,occasionally,often,almost always;0;0
4;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";4. I feel strained.;almost never,occasionally,often,almost always;0;0
5;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";5. I feel at ease.;almost never,occasionally,often,almost always;1;0
6;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";6. I feel upset.;almost never,occasionally,often,almost always;0;0
7;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";7. I am presently worrying over possible misfortunes.;almost never,occasionally,often,almost always;0;0
8;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";8. I feel satisfied.;almost never,occasionally,often,almost always;1;0
9;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";9. I feel frightened.;almost never,occasionally,often,almost always;0;0
10;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";10. I feel comfortable.;almost never,occasionally,often,almost always;1;0
11;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";11. I feel self-confident.;almost never,occasionally,often,almost always;1;0
12;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";12. I feel nervous.;almost never,occasionally,often,almost always;0;0
13;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";13. I am jittery.;almost never,occasionally,often,almost always;0;0
14;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";14. I feel indecisive.;almost never,occasionally,often,almost always;0;0
15;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";15. I am relaxed.;almost never,occasionally,often,almost always;1;0
16;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";16. I feel content.;almost never,occasionally,often,almost always;1;0
17;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";17. I am worried.;almost never,occasionally,often,almost always;0;0
18;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";18. I feel confused.;almost never,occasionally,often,almost always;0;0
19;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";19. I feel steady.;almost never,occasionally,often,almost always;1;0
20;STAI;"Read the statement and respond with the appropriate number to indicate how you feel
right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on the statement but give the answer which seems to describe your present feelings best.";20. I feel pleasant.;almost never,occasionally,often,almost always;1;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
